Hồ chứa,LVS/Hồ/Ngày/Giờ,thoi_gian,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
Hòa Bình,13,22/07/2018,Hồng,105.27,6004,--,7246,--,--,4733,--,--,1,--,
Hòa Bình,15,22/07/2018,Hồng,105.23,6229,--,7233,--,--,4729,--,--,1,--,
Hòa Bình,17,22/07/2018,Hồng,105.19,6217,--,7227,--,--,4727,--,--,1,--,
Hòa Bình,19,22/07/2018,Hồng,105.15,6208,--,7218,--,--,4723,--,--,1,--,
Hòa Bình,21,22/07/2018,Hồng,105.09,6200,--,7210,--,--,4718,--,--,1,--,
Hòa Bình,23,22/07/2018,Hồng,105.02,5165,--,7205,--,--,4713,--,--,1,--,
Hòa Bình,1,23/07/2018,Hồng,104.96,5692,--,7201,--,--,4707,--,--,1,--,
Hòa Bình,3,23/07/2018,Hồng,104.86,5180,--,7199,--,--,4701,--,--,1,--,
Hòa Bình,5,23/07/2018,Hồng,104.79,5179,--,7198,--,--,4697,--,--,1,--,
Hòa Bình,7,23/07/2018,Hồng,104.73,5177,--,7192,--,--,4692,--,--,1,--,
Hòa Bình,9,23/07/2018,Hồng,104.62,4664,--,7193,--,--,4686,--,--,1,--,
Hòa Bình,11,23/07/2018,Hồng,104.52,4660,--,7190,--,--,4680,--,--,1,--,
Hòa Bình,13,23/07/2018,Hồng,104.46,4618,--,5607,--,--,3117,--,--,1,--,
Hòa Bình,15,23/07/2018,Hồng,104.42,4604,--,5603,--,--,3116,--,--,1,--,
Hòa Bình,17,23/07/2018,Hồng,104.45,5093,--,4043,--,--,1558,--,--,1,--,
Hòa Bình,19,23/07/2018,Hồng,104.49,4541,--,4011,--,--,1559,--,--,1,--,
Hòa Bình,21,23/07/2018,Hồng,104.51,4526,--,3996,--,--,1560,--,--,1,--,
Hòa Bình,23,23/07/2018,Hồng,104.54,4517,--,3987,--,--,1560,--,--,1,--,
Hòa Bình,1,24/07/2018,Hồng,104.58,5026,--,3983,--,--,1561,--,--,1,--,
Hòa Bình,3,24/07/2018,Hồng,104.62,4971,--,3983,--,--,1562,--,--,1,--,
Hòa Bình,5,24/07/2018,Hồng,104.63,4002,--,3982,--,--,1562,--,--,1,--,
Hòa Bình,7,24/07/2018,Hồng,104.65,4507,--,3977,--,--,1563,--,--,1,--,
Hòa Bình,9,24/07/2018,Hồng,104.67,4503,--,3974,--,--,1563,--,--,1,--,
Hòa Bình,11,24/07/2018,Hồng,104.68,4489,--,3959,--,--,1563,--,--,1,--,
Hòa Bình,13,24/07/2018,Hồng,104.69,4487,--,3957,--,--,1563,--,--,1,--,
Hòa Bình,15,24/07/2018,Hồng,104.71,4487,--,3958,--,--,1564,--,--,1,--,
Hòa Bình,17,24/07/2018,Hồng,104.74,4213,--,3683,--,--,1564,--,--,1,--,
Hòa Bình,19,24/07/2018,Hồng,104.74,4487,--,3957,--,--,1564,--,--,1,--,
Hòa Bình,21,24/07/2018,Hồng,104.75,4486,--,3956,--,--,1565,--,--,1,--,
Hòa Bình,23,24/07/2018,Hồng,104.79,4996,--,3956,--,--,1565,--,--,1,--,
Hòa Bình,1,25/07/2018,Hồng,104.82,4486,--,3956,--,--,1566,--,--,1,--,
Hòa Bình,3,25/07/2018,Hồng,104.81,3466,--,3956,--,--,1566,--,--,1,--,
Hòa Bình,5,25/07/2018,Hồng,104.83,4486,--,3956,--,--,1566,--,--,1,--,
Hòa Bình,7,25/07/2018,Hồng,104.85,4486,--,3956,--,--,1567,--,--,1,--,
Hòa Bình,9,25/07/2018,Hồng,104.88,4741,--,3956,--,--,1567,--,--,1,--,
Hòa Bình,11,25/07/2018,Hồng,104.89,4231,--,3957,--,--,1568,--,--,1,--,
Hòa Bình,13,25/07/2018,Hồng,104.89,3976,--,3956,--,--,1568,--,--,1,--,
Hòa Bình,15,25/07/2018,Hồng,104.88,3721,--,3956,--,--,1568,--,--,1,--,
Hòa Bình,17,25/07/2018,Hồng,104.88,3975,--,3955,--,--,1567,--,--,1,--,
Hòa Bình,19,25/07/2018,Hồng,104.89,4230,--,3956,--,--,1568,--,--,1,--,
Hòa Bình,21,25/07/2018,Hồng,104.93,4995,--,3955,--,--,1568,--,--,1,--,
Hòa Bình,23,25/07/2018,Hồng,104.97,4995,--,3956,--,--,1569,--,--,1,--,
Hòa Bình,1,26/07/2018,Hồng,105.02,5276,--,3956,--,--,1571,--,--,1,--,
Hòa Bình,3,26/07/2018,Hồng,105.09,5778,--,3956,--,--,1573,--,--,1,--,
Hòa Bình,5,26/07/2018,Hồng,105.15,5521,--,3956,--,--,1574,--,--,1,--,
Hòa Bình,7,26/07/2018,Hồng,105.21,5522,--,3957,--,--,1576,--,--,1,--,
Hòa Bình,9,26/07/2018,Hồng,105.25,5009,--,3959,--,--,1576,--,--,1,--,
Hòa Bình,11,26/07/2018,Hồng,105.28,4752,--,3960,--,--,1577,--,--,1,--,
Hòa Bình,13,26/07/2018,Hồng,105.30,4495,--,3960,--,--,1578,--,--,1,--,
Hòa Bình,15,26/07/2018,Hồng,105.30,3980,--,3960,--,--,1578,--,--,1,--,
Hòa Bình,17,26/07/2018,Hồng,105.30,3980,--,3960,--,--,1578,--,--,1,--,
Hòa Bình,19,26/07/2018,Hồng,105.32,4495,--,3960,--,--,1579,--,--,1,--,
Hòa Bình,21,26/07/2018,Hồng,105.34,4495,--,3960,--,--,1579,--,--,1,--,
Hòa Bình,23,26/07/2018,Hồng,105.36,4495,--,3960,--,--,1580,--,--,1,--,
Hòa Bình,1,27/07/2018,Hồng,105.37,4237,--,3960,--,--,1580,--,--,1,--,
Hòa Bình,3,27/07/2018,Hồng,105.37,3979,--,3959,--,--,1580,--,--,1,--,
Hòa Bình,5,27/07/2018,Hồng,105.35,3465,--,3960,--,--,1580,--,--,1,--,
Hòa Bình,7,27/07/2018,Hồng,105.30,2692,--,3960,--,--,1579,--,--,1,--,
Hòa Bình,9,27/07/2018,Hồng,105.20,1404,--,3959,--,--,1577,--,--,1,--,
Hòa Bình,11,27/07/2018,Hồng,105.11,2447,--,4748,--,--,2359,--,--,1,--,
Hòa Bình,13,27/07/2018,Hồng,105.09,5050,--,5546,--,--,3146,--,--,1,--,
Hòa Bình,15,27/07/2018,Hồng,105.05,4534,--,5544,--,--,3144,--,--,1,--,
Hòa Bình,17,27/07/2018,Hồng,104.99,4016,--,5547,--,--,3140,--,--,1,--,
Hòa Bình,19,27/07/2018,Hồng,104.97,4780,--,5539,--,--,3139,--,--,1,--,
Hòa Bình,21,27/07/2018,Hồng,104.92,4290,--,5537,--,--,3137,--,--,1,--,
Hòa Bình,23,27/07/2018,Hồng,104.86,4035,--,5544,--,--,3134,--,--,1,--,
Hòa Bình,1,31/07/2018,Hồng,104.30,4438,--,2378,--,--,0,--,--,0,--,
Hòa Bình,7,31/07/2018,Hồng,104.37,2138,--,2373,--,--,0,--,--,0,--,
Hòa Bình,13,31/07/2018,Hồng,104.45,4125,--,2371,--,--,0,--,--,0,--,
Hòa Bình,19,31/07/2018,Hồng,104.63,3661,--,2366,--,--,0,--,--,0,--,
Hòa Bình,1,01/08/2018,Hồng,104.85,3657,--,2363,--,--,0,--,--,0,--,
Hòa Bình,3,01/08/2018,Hồng,104.85,2892,--,2362,--,--,0,--,--,0,--,
Hòa Bình,5,01/08/2018,Hồng,104.82,1617,--,2363,--,--,0,--,--,0,--,
Hòa Bình,7,01/08/2018,Hồng,104.78,1363,--,2363,--,--,0,--,--,0,--,
Hòa Bình,9,01/08/2018,Hồng,104.78,2383,--,2363,--,--,0,--,--,0,--,
Hòa Bình,11,01/08/2018,Hồng,104.81,3148,--,2362,--,--,0,--,--,0,--,
Hòa Bình,13,01/08/2018,Hồng,104.87,3912,--,2362,--,--,0,--,--,0,--,
Hòa Bình,15,01/08/2018,Hồng,104.94,4165,--,2360,--,--,0,--,--,0,--,
Hòa Bình,17,01/08/2018,Hồng,104.95,2635,--,2360,--,--,0,--,--,0,--,
Hòa Bình,19,01/08/2018,Hồng,104.99,3399,--,2359,--,--,0,--,--,0,--,
Hòa Bình,21,01/08/2018,Hồng,105.05,3924,--,2359,--,--,0,--,--,0,--,
Hòa Bình,23,01/08/2018,Hồng,105.13,4437,--,2358,--,--,0,--,--,0,--,
Hòa Bình,1,02/08/2018,Hồng,105.20,4179,--,2355,--,--,0,--,--,0,--,
Hòa Bình,3,02/08/2018,Hồng,105.24,3405,--,2355,--,--,0,--,--,0,--,
Hòa Bình,5,02/08/2018,Hồng,105.23,2118,--,2355,--,--,0,--,--,0,--,
Hòa Bình,7,02/08/2018,Hồng,105.19,1345,--,2355,--,--,0,--,--,0,--,
Hòa Bình,9,02/08/2018,Hồng,105.16,1602,--,2354,--,--,0,--,--,0,--,
Hòa Bình,11,02/08/2018,Hồng,105.14,1860,--,2354,--,--,0,--,--,0,--,
Hòa Bình,13,02/08/2018,Hồng,105.21,4176,--,2352,--,--,0,--,--,0,--,
Hòa Bình,15,02/08/2018,Hồng,105.30,4690,--,2352,--,--,0,--,--,0,--,
Hòa Bình,17,02/08/2018,Hồng,105.36,3957,--,2352,--,--,0,--,--,0,--,
Hòa Bình,19,02/08/2018,Hồng,105.40,3400,--,2351,--,--,0,--,--,0,--,
Hòa Bình,21,02/08/2018,Hồng,105.45,3658,--,2351,--,--,0,--,--,0,--,
Hòa Bình,23,02/08/2018,Hồng,105.49,3399,--,2350,--,--,0,--,--,0,--,
Hòa Bình,1,03/08/2018,Hồng,105.51,2884,--,2349,--,--,0,--,--,0,--,
Hòa Bình,3,03/08/2018,Hồng,105.50,2112,--,2349,--,--,0,--,--,0,--,
Hòa Bình,5,03/08/2018,Hồng,105.41,1170,--,2350,--,--,0,--,--,0,--,
Hòa Bình,7,03/08/2018,Hồng,105.38,1598,--,2351,--,--,0,--,--,0,--,
Hòa Bình,9,03/08/2018,Hồng,105.35,1598,--,2351,--,--,0,--,--,0,--,
Hòa Bình,11,03/08/2018,Hồng,105.37,2886,--,2351,--,--,0,--,--,0,--,
Hòa Bình,13,03/08/2018,Hồng,105.44,4173,--,2350,--,--,0,--,--,0,--,
Hòa Bình,15,03/08/2018,Hồng,105.52,4429,--,2349,--,--,0,--,--,0,--,
Hòa Bình,17,03/08/2018,Hồng,105.59,4171,--,2349,--,--,0,--,--,0,--,
Hòa Bình,19,03/08/2018,Hồng,105.63,3397,--,2348,--,--,0,--,--,0,--,
Hòa Bình,21,03/08/2018,Hồng,105.68,3654,--,2347,--,--,0,--,--,0,--,
Hòa Bình,23,03/08/2018,Hồng,105.74,3911,--,2346,--,--,0,--,--,0,--,
Hòa Bình,1,04/08/2018,Hồng,105.80,3909,--,2344,--,--,0,--,--,0,--,
Hòa Bình,3,04/08/2018,Hồng,105.82,2877,--,2343,--,--,0,--,--,0,--,
Hòa Bình,5,04/08/2018,Hồng,105.84,2877,--,2342,--,--,0,--,--,0,--,
Hòa Bình,7,04/08/2018,Hồng,105.86,2876,--,2342,--,--,0,--,--,0,--,
Hòa Bình,9,04/08/2018,Hồng,105.86,2361,--,2341,--,--,0,--,--,0,--,
Hòa Bình,11,04/08/2018,Hồng,105.85,2104,--,2342,--,--,0,--,--,0,--,
Hòa Bình,13,04/08/2018,Hồng,105.91,3907,--,2341,--,--,0,--,--,0,--,
Hòa Bình,15,04/08/2018,Hồng,105.98,4163,--,2341,--,--,0,--,--,0,--,
Hòa Bình,17,04/08/2018,Hồng,106.02,3400,--,2340,--,--,0,--,--,0,--,
Hòa Bình,19,04/08/2018,Hồng,106.04,2879,--,2340,--,--,0,--,--,0,--,
Hòa Bình,21,04/08/2018,Hồng,106.10,3919,--,2339,--,--,0,--,--,0,--,
Hòa Bình,23,04/08/2018,Hồng,106.17,4178,--,2338,--,--,0,--,--,0,--,
Hòa Bình,1,05/08/2018,Hồng,106.20,3137,--,2357,--,--,0,--,--,0,--,
Hòa Bình,3,05/08/2018,Hồng,106.19,2097,--,2357,--,--,0,--,--,0,--,
Hòa Bình,5,05/08/2018,Hồng,106.17,1837,--,2357,--,--,0,--,--,0,--,
Hòa Bình,7,05/08/2018,Hồng,106.14,1577,--,2358,--,--,0,--,--,0,--,
Hòa Bình,9,05/08/2018,Hồng,106.16,3688,--,3148,--,--,800,--,--,1,--,
Hòa Bình,11,05/08/2018,Hồng,106.09,2148,--,3949,--,--,1600,--,--,1,--,
Hòa Bình,13,05/08/2018,Hồng,106,1638,--,3958,--,--,1598,--,--,1,--,
Hòa Bình,15,05/08/2018,Hồng,105.96,2922,--,3931,--,--,1570,--,--,1,--,
Hòa Bình,17,05/08/2018,Hồng,105.99,4754,--,3973,--,--,1608,--,--,1,--,
Hòa Bình,19,05/08/2018,Hồng,106.02,3982,--,3973,--,--,1608,--,--,1,--,
Hòa Bình,21,05/08/2018,Hồng,106.05,4762,--,3962,--,--,1598,--,--,1,--,
Hòa Bình,23,05/08/2018,Hồng,106.10,5285,--,3963,--,--,1599,--,--,1,--,
Hòa Bình,1,06/08/2018,Hồng,106.16,5545,--,3965,--,--,1599,--,--,1,--,
Hòa Bình,3,06/08/2018,Hồng,106.22,5545,--,3966,--,--,1600,--,--,1,--,
Hòa Bình,5,06/08/2018,Hồng,106.20,3466,--,3966,--,--,1600,--,--,1,--,
Hòa Bình,7,06/08/2018,Hồng,106.20,3986,--,3966,--,--,1600,--,--,1,--,
Hòa Bình,9,06/08/2018,Hồng,106.15,2946,--,3967,--,--,1600,--,--,1,--,
Hòa Bình,11,06/08/2018,Hồng,106.14,3467,--,3967,--,--,1600,--,--,1,--,
Hòa Bình,13,06/08/2018,Hồng,106.20,5546,--,3965,--,--,1599,--,--,1,--,
Hòa Bình,15,06/08/2018,Hồng,106.30,6585,--,3963,--,--,1600,--,--,1,--,
Hòa Bình,17,06/08/2018,Hồng,106.38,6065,--,3965,--,--,1601,--,--,1,--,
Hòa Bình,19,06/08/2018,Hồng,106.45,5805,--,3965,--,--,1602,--,--,1,--,
Hòa Bình,21,06/08/2018,Hồng,106.52,5804,--,3965,--,--,1603,--,--,1,--,
Hòa Bình,23,06/08/2018,Hồng,106.59,5805,--,3964,--,--,1603,--,--,1,--,
Hòa Bình,1,07/08/2018,Hồng,106.65,5544,--,3965,--,--,1604,--,--,1,--,
Hòa Bình,3,07/08/2018,Hồng,106.70,5284,--,3964,--,--,1605,--,--,1,--,
Hòa Bình,5,07/08/2018,Hồng,106.72,4503,--,3963,--,--,1605,--,--,1,--,
Hòa Bình,7,07/08/2018,Hồng,106.74,4503,--,3963,--,--,1605,--,--,1,--,
Hòa Bình,9,07/08/2018,Hồng,106.77,4763,--,3963,--,--,1605,--,--,1,--,
Hòa Bình,11,07/08/2018,Hồng,106.82,5283,--,3963,--,--,1606,--,--,1,--,
Hòa Bình,13,07/08/2018,Hồng,106.89,5802,--,3962,--,--,1606,--,--,1,--,
Hòa Bình,15,07/08/2018,Hồng,106.94,5282,--,3962,--,--,1607,--,--,1,--,
Hòa Bình,17,07/08/2018,Hồng,107,5558,--,3962,--,--,1608,--,--,1,--,
Hòa Bình,19,07/08/2018,Hồng,107.07,5819,--,3961,--,--,1608,--,--,1,--,
Hòa Bình,21,07/08/2018,Hồng,107.14,5819,--,3960,--,--,1609,--,--,1,--,
Hòa Bình,23,07/08/2018,Hồng,107.15,4244,--,3962,--,--,1611,--,--,1,--,
Hòa Bình,1,09/08/2018,Hồng,107,3720,--,3962,--,--,1608,--,--,1,--,
Hòa Bình,7,09/08/2018,Hồng,106.95,3202,--,3963,--,--,1608,--,--,1,--,
Hòa Bình,13,09/08/2018,Hồng,106.84,3443,--,3964,--,--,1607,--,--,1,--,
Hòa Bình,19,09/08/2018,Hồng,106.78,4266,--,4766,--,--,2409,--,--,1,--,
Hòa Bình,23,09/08/2018,Hồng,106.81,6127,--,5587,--,--,3212,--,--,1,--,
Hòa Bình,1,10/08/2018,Hồng,106.82,5868,--,5588,--,--,3212,--,--,1,--,
Hòa Bình,7,10/08/2018,Hồng,106.75,16.67,--,5594,--,--,3212,--,--,1,--,
Hòa Bình,13,10/08/2018,Hồng,106.61,16.77,--,5593,--,--,3209,--,--,1,--,
Hòa Bình,19,10/08/2018,Hồng,106.59,16.77,--,5592,--,--,3208,--,--,1,--,
Hòa Bình,23,10/08/2018,Hồng,106.59,16.77,--,5592,--,--,3208,--,--,1,--,
Hòa Bình,1,13/08/2018,Hồng,105.39,5688,--,7214,--,--,4745,--,--,1,--,
Hòa Bình,3,13/08/2018,Hồng,105.33,5687,--,7215,--,--,4743,--,--,1,--,
Hòa Bình,5,13/08/2018,Hồng,105.26,5169,--,7209,--,--,4735,--,--,1,--,
Hòa Bình,7,13/08/2018,Hồng,105.14,4135,--,7207,--,--,4727,--,--,1,--,
Hòa Bình,9,13/08/2018,Hồng,105.02,4129,--,7199,--,--,4717,--,--,1,--,
Hòa Bình,11,13/08/2018,Hồng,104.92,5172,--,7192,--,--,4707,--,--,1,--,
Hòa Bình,13,13/08/2018,Hồng,104.86,5681,--,7191,--,--,4703,--,--,1,--,
Hòa Bình,15,13/08/2018,Hồng,104.80,5679,--,7189,--,--,4699,--,--,1,--,
Hòa Bình,17,13/08/2018,Hồng,104.74,5678,--,7188,--,--,4696,--,--,1,--,
Hòa Bình,19,13/08/2018,Hồng,104.68,5676,--,7187,--,--,4692,--,--,1,--,
Hòa Bình,21,13/08/2018,Hồng,104.62,5674,--,7185,--,--,4688,--,--,1,--,
Hòa Bình,23,13/08/2018,Hồng,104.56,5673,--,7183,--,--,4684,--,--,1,--,
Hòa Bình,1,14/08/2018,Hồng,104.49,5665,--,7175,--,--,4680,--,--,1,--,
Hòa Bình,3,14/08/2018,Hồng,104.41,5147,--,7167,--,--,4675,--,--,1,--,
Hòa Bình,5,14/08/2018,Hồng,104.35,5654,--,7165,--,--,4671,--,--,1,--,
Hòa Bình,7,14/08/2018,Hồng,104.28,5143,--,7163,--,--,4667,--,--,1,--,
Hòa Bình,9,14/08/2018,Hồng,104.22,5651,--,7162,--,--,4663,--,--,1,--,
Hòa Bình,11,14/08/2018,Hồng,104.16,5649,--,7160,--,--,4659,--,--,1,--,
Hòa Bình,13,14/08/2018,Hồng,104.10,5649,--,7159,--,--,4655,--,--,1,--,
Hòa Bình,15,14/08/2018,Hồng,104.03,5138,--,7158,--,--,4651,--,--,1,--,
Hòa Bình,17,14/08/2018,Hồng,103.96,5661,--,7156,--,--,4646,--,--,1,--,
Hòa Bình,19,14/08/2018,Hồng,103.89,5155,--,7156,--,--,4643,--,--,1,--,
Hòa Bình,21,14/08/2018,Hồng,103.82,5658,--,7154,--,--,4638,--,--,1,--,
Hòa Bình,23,14/08/2018,Hồng,103.75,5656,--,7151,--,--,4633,--,--,1,--,
Hòa Bình,1,15/08/2018,Hồng,103.69,5639,--,7134,--,--,4629,--,--,1,--,
Hòa Bình,3,15/08/2018,Hồng,103.61,5119,--,7119,--,--,4625,--,--,1,--,
Hòa Bình,5,15/08/2018,Hồng,103.55,5622,--,7118,--,--,4621,--,--,1,--,
Hòa Bình,7,15/08/2018,Hồng,103.47,5116,--,7116,--,--,4616,--,--,1,--,
Hòa Bình,9,15/08/2018,Hồng,103.39,5113,--,7113,--,--,4611,--,--,1,--,
Hòa Bình,11,15/08/2018,Hồng,103.32,5111,--,7112,--,--,4607,--,--,1,--,
Hòa Bình,13,15/08/2018,Hồng,103.25,5611,--,7107,--,--,4602,--,--,1,--,
Hòa Bình,15,15/08/2018,Hồng,103.17,5101,--,7101,--,--,4597,--,--,1,--,
Hòa Bình,17,15/08/2018,Hồng,103.11,5604,--,7100,--,--,4593,--,--,1,--,
Hòa Bình,19,15/08/2018,Hồng,103.05,5604,--,7099,--,--,4589,--,--,1,--,
Hòa Bình,21,15/08/2018,Hồng,102.98,5553,--,7034,--,--,4522,--,--,1,--,
Hòa Bình,23,15/08/2018,Hồng,102.92,5615,--,7095,--,--,4581,--,--,1,--,
Hòa Bình,1,16/08/2018,Hồng,102.86,5607,--,7087,--,--,4577,--,--,1,--,
Hòa Bình,3,16/08/2018,Hồng,102.80,5605,--,7085,--,--,4573,--,--,1,--,
Hòa Bình,5,16/08/2018,Hồng,102.74,5600,--,7080,--,--,4570,--,--,1,--,
Hòa Bình,1,17/08/2018,Hồng,102.34,5562,--,7042,--,--,4544,--,--,1,--,
Hòa Bình,3,17/08/2018,Hồng,102.26,5059,--,7040,--,--,4540,--,--,1,--,
Hòa Bình,5,17/08/2018,Hồng,102.19,5055,--,7035,--,--,4535,--,--,1,--,
Hòa Bình,7,17/08/2018,Hồng,102.11,5050,--,7030,--,--,4530,--,--,1,--,
Hòa Bình,9,17/08/2018,Hồng,102.04,5547,--,7025,--,--,4525,--,--,1,--,
Hòa Bình,11,17/08/2018,Hồng,101.98,4030,--,5515,--,--,3020,--,--,1,--,
Hòa Bình,13,17/08/2018,Hồng,102.02,6520,--,5500,--,--,3014,--,--,1,--,
Hòa Bình,15,17/08/2018,Hồng,102.06,6026,--,5506,--,--,3016,--,--,1,--,
Hòa Bình,17,17/08/2018,Hồng,102.06,5526,--,5506,--,--,3017,--,--,1,--,
Hòa Bình,19,17/08/2018,Hồng,102.06,5529,--,5509,--,--,3017,--,--,1,--,
Hòa Bình,21,17/08/2018,Hồng,102.10,5530,--,3975,--,--,1512,--,--,1,--,
Hòa Bình,23,17/08/2018,Hồng,102.18,5488,--,3965,--,--,1513,--,--,1,--,
Hòa Bình,1,18/08/2018,Hồng,102.24,5490,--,3970,--,--,1511,--,--,1,--,
Hòa Bình,7,18/08/2018,Hồng,102.39,4490,--,3970,--,--,1515,--,--,1,--,
Hòa Bình,13,18/08/2018,Hồng,102.49,4479,--,2460,--,--,0,--,--,0,--,
Hòa Bình,19,18/08/2018,Hồng,102.75,4677,--,2407,--,--,0,--,--,0,--,
Hòa Bình,23,18/08/2018,Hồng,102.96,4951,--,2400,--,--,0,--,--,0,--,
Hòa Bình,1,23/08/2018,Hồng,105.50,3656,--,2348,--,--,0,--,--,0,--,
Hòa Bình,3,23/08/2018,Hồng,105.55,3656,--,2348,--,--,0,--,--,0,--,
Hòa Bình,5,23/08/2018,Hồng,105.60,3655,--,2347,--,--,0,--,--,0,--,
Hòa Bình,7,23/08/2018,Hồng,105.65,3654,--,2346,--,--,0,--,--,0,--,
Hòa Bình,9,23/08/2018,Hồng,105.69,3396,--,2346,--,--,0,--,--,0,--,
Hòa Bình,11,23/08/2018,Hồng,105.72,3138,--,2346,--,--,0,--,--,0,--,
Hòa Bình,13,23/08/2018,Hồng,105.77,3651,--,2344,--,--,0,--,--,0,--,
Hòa Bình,15,23/08/2018,Hồng,105.81,3393,--,2343,--,--,0,--,--,0,--,
Hòa Bình,17,23/08/2018,Hồng,105.86,3650,--,2343,--,--,0,--,--,0,--,
Hòa Bình,19,23/08/2018,Hồng,105.91,3649,--,2342,--,--,0,--,--,0,--,
Hòa Bình,21,23/08/2018,Hồng,105.95,3391,--,2341,--,--,0,--,--,0,--,
Hòa Bình,23,23/08/2018,Hồng,106,3660,--,2341,--,--,0,--,--,0,--,
Hòa Bình,1,24/08/2018,Hồng,106.05,3659,--,2340,--,--,0,--,--,0,--,
Hòa Bình,3,24/08/2018,Hồng,106.10,3658,--,2339,--,--,0,--,--,0,--,
Hòa Bình,5,24/08/2018,Hồng,106.13,3138,--,2338,--,--,0,--,--,0,--,
Hòa Bình,7,24/08/2018,Hồng,106.15,2877,--,2338,--,--,0,--,--,0,--,
Hòa Bình,9,24/08/2018,Hồng,106.16,2617,--,2337,--,--,0,--,--,0,--,
Hòa Bình,11,24/08/2018,Hồng,106.18,2876,--,2337,--,--,0,--,--,0,--,
Hòa Bình,13,24/08/2018,Hồng,106.22,3396,--,2336,--,--,0,--,--,0,--,
Hòa Bình,15,24/08/2018,Hồng,106.27,3655,--,2336,--,--,0,--,--,0,--,
Hòa Bình,17,24/08/2018,Hồng,106.32,3654,--,2335,--,--,0,--,--,0,--,
Hòa Bình,19,24/08/2018,Hồng,106.37,3654,--,2334,--,--,0,--,--,0,--,
Hòa Bình,21,24/08/2018,Hồng,106.44,4172,--,2333,--,--,0,--,--,0,--,
Hòa Bình,23,24/08/2018,Hồng,106.51,4171,--,2332,--,--,0,--,--,0,--,
Hòa Bình,1,25/08/2018,Hồng,106.58,4171,--,2331,--,--,0,--,--,0,--,
Hòa Bình,3,25/08/2018,Hồng,106.64,3910,--,2330,--,--,0,--,--,0,--,
Hòa Bình,5,25/08/2018,Hồng,106.71,4168,--,2329,--,--,0,--,--,0,--,
Hòa Bình,7,25/08/2018,Hồng,106.75,3388,--,2328,--,--,0,--,--,0,--,
Hòa Bình,9,25/08/2018,Hồng,106.74,2087,--,2328,--,--,0,--,--,0,--,
Hòa Bình,11,25/08/2018,Hồng,106.73,2088,--,2328,--,--,0,--,--,0,--,
Hòa Bình,13,25/08/2018,Hồng,106.79,3907,--,2328,--,--,0,--,--,0,--,
Hòa Bình,15,25/08/2018,Hồng,106.86,4167,--,2327,--,--,0,--,--,0,--,
Hòa Bình,17,25/08/2018,Hồng,106.92,3906,--,2326,--,--,0,--,--,0,--,
Hòa Bình,19,25/08/2018,Hồng,106.96,3384,--,2325,--,--,0,--,--,0,--,
Hòa Bình,21,25/08/2018,Hồng,106.99,3125,--,2325,--,--,0,--,--,0,--,
Hòa Bình,23,25/08/2018,Hồng,107.03,3394,--,2324,--,--,0,--,--,0,--,
Hòa Bình,1,26/08/2018,Hồng,107.06,3130,--,2323,--,--,0,--,--,0,--,
Hòa Bình,3,26/08/2018,Hồng,107.09,3130,--,2322,--,--,0,--,--,0,--,
Hòa Bình,5,26/08/2018,Hồng,107.15,3916,--,2322,--,--,0,--,--,0,--,
Hòa Bình,7,26/08/2018,Hồng,107.18,3129,--,2321,--,--,0,--,--,0,--,
Hòa Bình,9,26/08/2018,Hồng,107.18,2341,--,2321,--,--,0,--,--,0,--,
Hòa Bình,11,26/08/2018,Hồng,107.14,1291,--,2321,--,--,0,--,--,0,--,
Hòa Bình,13,26/08/2018,Hồng,107.14,2341,--,2321,--,--,0,--,--,0,--,
Hòa Bình,15,26/08/2018,Hồng,107.21,4178,--,2321,--,--,0,--,--,0,--,
Hòa Bình,17,26/08/2018,Hồng,107.22,2603,--,2320,--,--,0,--,--,0,--,
Hòa Bình,19,26/08/2018,Hồng,107.24,2864,--,2320,--,--,0,--,--,0,--,
Hòa Bình,21,26/08/2018,Hồng,107.22,2339,--,2319,--,--,0,--,--,0,--,
Hòa Bình,23,26/08/2018,Hồng,107.26,3389,--,2319,--,--,0,--,--,0,--,
Hòa Bình,1,30/08/2018,Hồng,108.91,5494,--,2293,--,--,0,--,--,0,--,
Hòa Bình,7,30/08/2018,Hồng,109.20,4448,--,2288,--,--,0,--,--,0,--,
Hòa Bình,13,30/08/2018,Hồng,109.70,7922,--,2285,--,--,0,--,--,0,--,
Hòa Bình,19,30/08/2018,Hồng,110.47,9860,--,2280,--,--,0,--,--,0,--,
Hòa Bình,23,30/08/2018,Hồng,111.09,10554,--,2269,--,--,0,--,--,0,--,
Hòa Bình,1,02/09/2018,Hồng,114.96,4477,--,2197,--,--,0,--,--,0,--,
Hòa Bình,3,02/09/2018,Hồng,115.03,3912,--,2195,--,--,0,--,--,0,--,
Hòa Bình,5,02/09/2018,Hồng,115.06,2782,--,2196,--,--,0,--,--,0,--,
